TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,P,C-,D,NC,F,W,INC/NA,AVG GPA,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,10,"SOLARSH, E",54,16,14,9,3,3,1,0,0,0,0,0,0,3,5,0,3.802173913,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,4,"FEISULLIN, A",52,12,17,6,5,2,2,1,1,0,0,0,0,0,3,3,3.704347826,,lol
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,8,"SOLARSH, E",55,23,13,5,1,4,1,1,2,0,3,0,0,2,0,0,3.620754717,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,11,"CHAN, J",55,0,25,10,8,3,1,4,0,0,0,0,0,1,3,0,3.61372549,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,5,"FEISULLIN, A",35,11,3,0,5,2,4,2,0,0,0,0,0,2,4,2,3.477777778,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,6,"RUTHIZER, S",54,0,12,7,11,4,2,1,4,0,0,2,0,1,8,2,3.253488372,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,9,"HUANG, Q",30,0,10,3,3,1,0,0,1,0,1,1,2,5,3,0,3.122727273,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,3,"RUTHIZER, S",55,0,14,2,11,3,4,7,4,1,0,4,1,0,3,1,2.952,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,2,"GRUZA, M",18,0,1,0,4,3,2,2,1,0,0,0,0,0,5,0,2.938461538,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,1,"DAUBER, N",40,3,0,1,3,5,4,5,3,0,5,4,0,1,6,0,2.466666667,,
Spring 2021,ACCT,101,Intro Thry & Prac of Acct I,7,"COWAN DOCKERY, M",29,1,1,3,1,1,1,0,5,0,0,2,3,7,4,0,2.227777778,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,2,"FEISULLIN, A",50,8,11,6,4,10,2,2,4,0,1,0,0,0,2,0,3.35625,,
